iter	Passed	Remaining
0	133	133683
1	134	67338
2	135	45176
3	137	34118
4	137	27449
5	138	23024
6	140	19886
7	141	17490
8	142	15654
9	143	14198
10	145	13041
11	146	12041
12	147	11210
13	148	10465
14	149	9840
15	151	9293
16	152	8793
17	152	8338
18	153	7941
19	154	7593
20	156	7286
21	157	7003
22	158	6721
23	159	6476
24	160	6250
25	161	6039
26	162	5838
27	162	5646
28	163	5483
29	164	5334
30	166	5191
31	167	5055
32	168	4926
33	169	4804
34	171	4717
35	172	4630
36	174	4538
37	175	4444
38	177	4366
39	178	4282
40	179	4198
41	180	4123
42	181	4040
43	182	3970
44	184	3915
45	185	3852
46	187	3793
47	188	3733
48	189	3681
49	190	3624
50	192	3577
51	192	3515
52	193	3459
53	194	3413
54	196	3368
55	196	3320
56	198	3282
57	199	3243
58	200	3200
59	201	3160
60	202	3121
61	203	3082
62	204	3046
63	206	3016
64	207	2980
65	208	2949
66	209	2920
67	210	2890
68	212	2864
69	213	2838
70	214	2810
71	215	2781
72	217	2755
73	218	2730
74	219	2708
75	220	2684
76	221	2661
77	222	2635
78	223	2609
79	224	2587
80	226	2565
81	227	2547
82	228	2526
83	229	2507
84	230	2484
85	231	2463
86	233	2447
87	234	2429
88	235	2407
89	236	2389
90	237	2369
91	238	2352
92	239	2333
93	240	2319
94	242	2306
95	243	2291
96	243	2269
97	244	2253
98	245	2237
99	247	2223
100	247	2205
101	248	2191
102	249	2176
103	250	2161
104	251	2147
105	253	2137
106	254	2126
107	255	2114
108	257	2105
109	258	2092
110	259	2077
111	260	2064
112	261	2049
113	262	2037
114	263	2025
115	264	2015
116	265	2002
117	266	1991
118	267	1981
119	268	1970
120	269	1961
121	270	1948
122	271	1938
123	273	1929
124	274	1919
125	275	1910
126	276	1900
127	277	1890
128	278	1880
129	279	1868
130	280	1859
131	281	1850
132	282	1840
133	283	1831
134	284	1824
135	285	1814
136	286	1805
137	287	1797
138	288	1786
139	289	1777
140	290	1769
141	291	1762
142	292	1755
143	293	1746
144	294	1739
145	295	1730
146	296	1722
147	297	1715
148	299	1709
149	300	1701
150	301	1694
151	302	1687
152	303	1682
153	305	1675
154	306	1668
155	307	1661
156	308	1655
157	309	1650
158	311	1645
159	312	1640
160	313	1635
161	315	1629
162	316	1623
163	317	1618
164	318	1611
165	319	1604
166	319	1595
167	320	1588
168	321	1581
169	322	1574
170	323	1569
171	324	1563
172	325	1556
173	326	1551
174	327	1544
175	329	1540
176	330	1538
177	332	1533
178	333	1529
179	334	1523
180	335	1518
181	336	1512
182	337	1506
183	338	1500
184	339	1495
185	340	1490
186	341	1483
187	342	1479
188	343	1474
189	345	1470
190	346	1466
191	347	1460
192	348	1456
193	349	1451
194	350	1446
195	351	1441
196	352	1436
197	353	1430
198	354	1424
199	354	1419
200	355	1414
201	357	1411
202	358	1407
203	359	1402
204	360	1397
205	361	1392
206	362	1389
207	363	1384
208	364	1380
209	366	1377
210	367	1373
211	368	1369
212	369	1364
213	370	1360
214	371	1356
215	372	1353
216	373	1349
217	375	1345
218	376	1340
219	376	1335
220	377	1331
221	378	1327
222	380	1324
223	380	1319
224	382	1315
225	383	1311
226	383	1307
227	384	1303
228	386	1301
229	387	1298
230	388	1293
231	389	1289
232	390	1284
233	391	1280
234	391	1275
235	392	1271
236	393	1267
237	394	1262
238	395	1258
239	395	1253
240	396	1249
241	397	1244
242	398	1240
243	398	1235
244	400	1233
245	401	1230
246	402	1226
247	403	1222
248	404	1218
249	405	1215
